cid,card_number,pack_name,rarity_id,rarity_name
4007,LPST-JP003,LIMITED PACK ー STAMP EDITION ー,4,UR (ウルトラレア仕様)
4007,LPST-JP003,LIMITED PACK ー STAMP EDITION ー,5,SE (シークレットレア仕様)
4007,LPST-JP003,LIMITED PACK ー STAMP EDITION ー,36,PSE (プリズマティックシークレットレア仕様)
4007,SSC1-JP001,サンスター コラボ記念カード,9,P (パラレル仕様)
4007,NYC1-JP001,日本郵政コラボ記念カード,51,QCSE (クォーターセンチュリーシークレットレア仕様)
4007,QCAC-JP021,QUARTER CENTURY ART COLLECTION,4,UR (ウルトラレア仕様)
4007,QCAC-JP021,QUARTER CENTURY ART COLLECTION,5,SE (シークレットレア仕様)
4007,QCAC-JP021,QUARTER CENTURY ART COLLECTION,51,QCSE (クォーターセンチュリーシークレットレア仕様)
4007,SD47-JP001,ストラクチャーデッキ－青き眼の光臨－,1,N (ノーマル仕様)
4007,711D-JP001,セブンイレブン「遊戯王カードゲーム」コラボキャンペーン2024特典カード,9,P (パラレル仕様)
4007,QCPC-JP001,QUARTER CENTURY UNITY＆PRIDEキャンペーン,51,QCSE (クォーターセンチュリーシークレットレア仕様)
4007,QCCP-JP001,QUARTER CENTURY CHRONICLE side：PRIDE,4,UR (ウルトラレア仕様)
4007,QCCP-JP001,QUARTER CENTURY CHRONICLE side：PRIDE,5,SE (シークレットレア仕様)
4007,QCCP-JP001,QUARTER CENTURY CHRONICLE side：PRIDE,6,UL (アルティメットレア仕様)
4007,QCCP-JP001,QUARTER CENTURY CHRONICLE side：PRIDE,51,QCSE (クォーターセンチュリーシークレットレア仕様)
4007,TD02-JP001,遊戯王デュエルモンスターズ 決闘者伝説 QUARTER CENTURY - 来場者限定記念カード 2月4日 -,53,QCSE (クォーターセンチュリーシークレットレア仕様（TOKYO DOME GREEN Ver.）)
4007,,EX 復刻版 - 海馬デッキ -,4,UR (ウルトラレア仕様)
4007,QCDB-JP009,QUARTER CENTURY DUELIST BOX,4,UR (ウルトラレア仕様)
4007,QCDB-JP009,QUARTER CENTURY DUELIST BOX,5,SE (シークレットレア仕様)
4007,QCDB-JP009,QUARTER CENTURY DUELIST BOX,51,QCSE (クォーターセンチュリーシークレットレア仕様)
